2024-12-21 19:32:24,426 - root - INFO - Using data directory: c:\!AndriiShramko\inventions\SDKGOPROShramko\GoProControl\api\v2\v39\data
2024-12-21 19:32:24,437 - root - INFO - Loaded camera cache from c:\!AndriiShramko\inventions\SDKGOPROShramko\GoProControl\api\v2\v39\data\camera_cache.json
2024-12-21 19:32:24,438 - root - INFO - Loaded cached camera devices:
2024-12-21 19:32:24,439 - root - INFO - Name: C3461326350943, IP: 172.29.143.51
2024-12-21 19:32:24,439 - root - INFO - Name: C3461350386740, IP: 172.27.140.51
2024-12-21 19:32:24,440 - root - INFO - Name: C3461326043977, IP: 172.29.177.51
2024-12-21 19:32:24,441 - root - INFO - Name: C3461326143885, IP: 172.28.185.51
2024-12-21 19:32:24,442 - root - INFO - Name: C3461326029723, IP: 172.27.123.51
2024-12-21 19:32:24,442 - root - INFO - Name: C3461326135139, IP: 172.21.139.51
2024-12-21 19:32:24,443 - root - INFO - Name: C3461325908060, IP: 172.20.160.51
2024-12-21 19:32:24,443 - root - INFO - Stopping recording on all cameras...
2024-12-21 19:32:24,452 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 172.29.143.51:8080
2024-12-21 19:32:24,453 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 172.27.140.51:8080
2024-12-21 19:32:24,454 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 172.28.185.51:8080
2024-12-21 19:32:24,456 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 172.29.177.51:8080
2024-12-21 19:32:24,458 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 172.27.123.51:8080
2024-12-21 19:32:24,460 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 172.20.160.51:8080
2024-12-21 19:32:24,460 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 172.21.139.51:8080
2024-12-21 19:32:24,506 - urllib3.connectionpool - DEBUG - http://172.28.185.51:8080 "GET /gopro/camera/state HTTP/11" 200 1409
2024-12-21 19:32:24,507 - urllib3.connectionpool - DEBUG - http://172.27.123.51:8080 "GET /gopro/camera/state HTTP/11" 200 1417
2024-12-21 19:32:24,507 - urllib3.connectionpool - DEBUG - http://172.27.140.51:8080 "GET /gopro/camera/state HTTP/11" 200 1411
2024-12-21 19:32:24,509 - urllib3.connectionpool - DEBUG - http://172.29.177.51:8080 "GET /gopro/camera/state HTTP/11" 200 1425
2024-12-21 19:32:24,511 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 172.28.185.51:8080
2024-12-21 19:32:24,515 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 172.27.123.51:8080
2024-12-21 19:32:24,516 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 172.27.140.51:8080
2024-12-21 19:32:24,518 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 172.29.177.51:8080
2024-12-21 19:32:24,528 - urllib3.connectionpool - DEBUG - http://172.20.160.51:8080 "GET /gopro/camera/state HTTP/11" 200 1405
2024-12-21 19:32:24,529 - urllib3.connectionpool - DEBUG - http://172.21.139.51:8080 "GET /gopro/camera/state HTTP/11" 200 1425
2024-12-21 19:32:24,532 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 172.20.160.51:8080
2024-12-21 19:32:24,533 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 172.21.139.51:8080
2024-12-21 19:32:24,545 - urllib3.connectionpool - DEBUG - http://172.29.143.51:8080 "GET /gopro/camera/state HTTP/11" 200 1403
2024-12-21 19:32:24,549 - urllib3.connectionpool - DEBUG - Starting new HTTP connection (1): 172.29.143.51:8080
2024-12-21 19:32:25,015 - urllib3.connectionpool - DEBUG - http://172.20.160.51:8080 "GET /gopro/camera/shutter/stop HTTP/11" 200 0
2024-12-21 19:32:25,017 - root - INFO - Recording stopped successfully on camera 172.20.160.51.
2024-12-21 19:32:25,046 - urllib3.connectionpool - DEBUG - http://172.29.143.51:8080 "GET /gopro/camera/shutter/stop HTTP/11" 200 0
2024-12-21 19:32:25,048 - root - INFO - Recording stopped successfully on camera 172.29.143.51.
2024-12-21 19:32:25,125 - urllib3.connectionpool - DEBUG - http://172.27.123.51:8080 "GET /gopro/camera/shutter/stop HTTP/11" 200 0
2024-12-21 19:32:25,126 - root - INFO - Recording stopped successfully on camera 172.27.123.51.
2024-12-21 19:32:25,189 - urllib3.connectionpool - DEBUG - http://172.29.177.51:8080 "GET /gopro/camera/shutter/stop HTTP/11" 200 0
2024-12-21 19:32:25,191 - root - INFO - Recording stopped successfully on camera 172.29.177.51.
2024-12-21 19:32:25,299 - urllib3.connectionpool - DEBUG - http://172.28.185.51:8080 "GET /gopro/camera/shutter/stop HTTP/11" 200 0
2024-12-21 19:32:25,301 - root - INFO - Recording stopped successfully on camera 172.28.185.51.
2024-12-21 19:32:25,908 - urllib3.connectionpool - DEBUG - http://172.27.140.51:8080 "GET /gopro/camera/shutter/stop HTTP/11" 200 0
2024-12-21 19:32:25,909 - root - INFO - Recording stopped successfully on camera 172.27.140.51.
2024-12-21 19:32:31,160 - urllib3.connectionpool - DEBUG - http://172.21.139.51:8080 "GET /gopro/camera/shutter/stop HTTP/11" 200 0
2024-12-21 19:32:31,163 - root - INFO - Recording stopped successfully on camera 172.21.139.51.
